seed,candidate,mechanism,cost,train_support,test_relevant_queries,selected,consumed,positive,negative,positive_magnitude,negative_magnitude
0,mcv:1704,mcv,958,2,1,False,0,0,0,0.0,0.0
0,fd:194,fd,27,2,4,False,0,0,0,0.0,0.0
0,mcv:913,mcv,226,4,1,False,0,0,0,0.0,0.0
0,mcv:63,mcv,196,7,2,False,0,0,0,0.0,0.0
0,mcv:1285,mcv,174,1,3,False,0,0,0,0.0,0.0
0,mcv:514,mcv,174,2,4,False,0,0,0,0.0,0.0
0,mcv:35,mcv,148,6,4,True,4,2,2,0.006344300722907148,0.01387673920561494
0,mcv:1307,mcv,378,3,1,False,0,0,0,0.0,0.0
0,fd:111,fd,27,6,1,False,0,0,0,0.0,0.0
0,mcv:77,mcv,148,6,3,True,1,0,1,0.0,0.011863303733448793
0,fd:359,fd,27,4,1,False,0,0,0,0.0,0.0
0,mcv:1408,mcv,248,3,1,False,0,0,0,0.0,0.0
0,fd:15,fd,41,6,4,False,0,0,0,0.0,0.0
0,fd:490,fd,27,3,1,False,0,0,0,0.0,0.0
0,fd:28,fd,41,6,3,False,0,0,0,0.0,0.0
0,mcv:291,mcv,378,6,1,True,0,0,0,0.0,0.0
0,mcv:286,mcv,492,5,2,False,0,0,0,0.0,0.0
0,fd:709,fd,27,1,1,False,0,0,0,0.0,0.0
0,mcv:76,mcv,148,6,3,False,0,0,0,0.0,0.0
0,fd:486,fd,27,1,3,False,0,0,0,0.0,0.0
0,mcv:327,mcv,226,5,2,False,0,0,0,0.0,0.0
0,mcv:1286,mcv,362,1,3,False,0,0,0,0.0,0.0
0,fd:532,fd,27,3,1,False,0,0,0,0.0,0.0
0,mcv:2036,mcv,466,1,1,False,0,0,0,0.0,0.0
0,mcv:1890,mcv,318,1,1,False,0,0,0,0.0,0.0
0,mcv:226,mcv,252,3,4,False,0,0,0,0.0,0.0
0,fd:112,fd,41,4,3,False,0,0,0,0.0,0.0
0,mcv:1621,mcv,458,2,1,False,0,0,0,0.0,0.0
0,mcv:108,mcv,572,5,3,False,0,0,0,0.0,0.0
0,fd:89,fd,41,3,4,False,0,0,0,0.0,0.0
0,mcv:295,mcv,200,4,3,False,0,0,0,0.0,0.0
0,mcv:810,mcv,454,2,3,False,0,0,0,0.0,0.0
0,mcv:408,mcv,634,4,2,False,0,0,0,0.0,0.0
0,mcv:759,mcv,170,4,1,False,0,0,0,0.0,0.0
0,mcv:1244,mcv,266,2,2,False,0,0,0,0.0,0.0
0,mcv:1514,mcv,362,2,1,False,0,0,0,0.0,0.0
0,mcv:334,mcv,314,4,3,False,0,0,0,0.0,0.0
0,mcv:351,mcv,266,6,1,False,0,0,0,0.0,0.0
0,mcv:1555,mcv,196,2,1,False,0,0,0,0.0,0.0
0,mcv:114,mcv,266,7,1,False,0,0,0,0.0,0.0
0,mcv:822,mcv,384,3,2,False,0,0,0,0.0,0.0
0,mcv:705,mcv,362,4,1,False,0,0,0,0.0,0.0
0,mcv:1519,mcv,388,2,1,False,0,0,0,0.0,0.0
0,mcv:50,mcv,170,7,2,True,2,1,1,0.04561006714840099,0.050487079585963324
0,fd:175,fd,27,5,1,False,0,0,0,0.0,0.0
0,mcv:1561,mcv,170,2,1,False,0,0,0,0.0,0.0
0,mcv:595,mcv,218,5,1,False,0,0,0,0.0,0.0
0,mcv:117,mcv,200,6,2,False,0,0,0,0.0,0.0
0,mcv:712,mcv,370,3,2,False,0,0,0,0.0,0.0
0,mcv:437,mcv,196,5,1,False,0,0,0,0.0,0.0
0,mcv:1240,mcv,358,3,1,False,0,0,0,0.0,0.0
0,mcv:1138,mcv,266,2,2,False,0,0,0,0.0,0.0
0,fd:563,fd,27,2,1,False,0,0,0,0.0,0.0
0,mcv:243,mcv,200,6,1,False,0,0,0,0.0,0.0
0,mcv:412,mcv,362,5,1,False,0,0,0,0.0,0.0
0,fd:102,fd,27,4,3,False,0,0,0,0.0,0.0
0,mcv:1062,mcv,770,3,1,False,0,0,0,0.0,0.0
0,mcv:97,mcv,362,7,1,False,0,0,0,0.0,0.0
0,mcv:267,mcv,610,4,3,False,0,0,0,0.0,0.0
0,mcv:263,mcv,548,3,4,False,0,0,0,0.0,0.0
0,mcv:44,mcv,340,6,3,False,0,0,0,0.0,0.0
0,fd:152,fd,27,3,3,False,0,0,0,0.0,0.0
0,mcv:1456,mcv,170,2,2,False,0,0,0,0.0,0.0
0,mcv:383,mcv,278,3,3,False,0,0,0,0.0,0.0
0,mcv:378,mcv,362,4,2,False,0,0,0,0.0,0.0
0,mcv:773,mcv,196,3,2,True,2,2,0,0.01690116550706766,0.0
0,mcv:205,mcv,1484,5,2,False,0,0,0,0.0,0.0
0,mcv:929,mcv,340,1,4,False,0,0,0,0.0,0.0
0,fd:83,fd,27,5,2,False,0,0,0,0.0,0.0
0,mcv:1772,mcv,196,1,2,False,0,0,0,0.0,0.0
0,mcv:1583,mcv,632,2,1,False,0,0,0,0.0,0.0
0,mcv:596,mcv,218,4,2,False,0,0,0,0.0,0.0
0,mcv:1611,mcv,632,2,1,False,0,0,0,0.0,0.0
0,mcv:451,mcv,170,4,2,False,0,0,0,0.0,0.0
0,mcv:1179,mcv,292,3,1,False,0,0,0,0.0,0.0
0,mcv:326,mcv,292,4,3,False,0,0,0,0.0,0.0
0,fd:100,fd,27,3,4,False,0,0,0,0.0,0.0
0,fd:633,fd,27,1,2,False,0,0,0,0.0,0.0
0,mcv:1381,mcv,314,3,1,False,0,0,0,0.0,0.0
0,mcv:56,mcv,1128,6,3,False,0,0,0,0.0,0.0
0,mcv:777,mcv,170,3,2,False,0,0,0,0.0,0.0
0,fd:302,fd,27,3,2,False,0,0,0,0.0,0.0
0,mcv:240,mcv,218,6,1,False,0,0,0,0.0,0.0
0,mcv:112,mcv,170,6,2,True,2,1,1,0.03285608754694347,0.007061367958944853
0,mcv:1139,mcv,362,3,1,False,0,0,0,0.0,0.0
0,mcv:494,mcv,300,5,1,False,0,0,0,0.0,0.0
0,fd:611,fd,27,1,2,False,0,0,0,0.0,0.0
0,mcv:831,mcv,340,3,2,False,0,0,0,0.0,0.0
0,mcv:1715,mcv,196,1,2,False,0,0,0,0.0,0.0
0,mcv:1217,mcv,476,1,3,False,0,0,0,0.0,0.0
0,mcv:435,mcv,322,4,2,False,0,0,0,0.0,0.0
0,fd:0,fd,27,10,3,True,0,0,0,0.0,0.0
0,mcv:19,mcv,196,8,2,False,0,0,0,0.0,0.0
0,fd:7,fd,27,8,2,False,0,0,0,0.0,0.0
0,mcv:59,mcv,244,4,5,False,0,0,0,0.0,0.0
0,mcv:2150,mcv,170,0,1,False,0,0,0,0.0,0.0
0,mcv:151,mcv,384,4,4,False,0,0,0,0.0,0.0
0,fd:442,fd,27,2,2,False,0,0,0,0.0,0.0
0,mcv:244,mcv,292,5,2,False,0,0,0,0.0,0.0
0,mcv:476,mcv,572,3,3,False,0,0,0,0.0,0.0
0,fd:23,fd,27,4,5,False,0,0,0,0.0,0.0
0,mcv:1537,mcv,344,2,1,False,0,0,0,0.0,0.0
0,mcv:842,mcv,428,3,2,False,0,0,0,0.0,0.0
0,mcv:0,mcv,196,10,3,False,0,0,0,0.0,0.0
0,mcv:128,mcv,414,4,4,False,0,0,0,0.0,0.0
0,fd:567,fd,27,2,1,False,0,0,0,0.0,0.0
0,mcv:1117,mcv,174,2,2,True,1,1,0,0.1006689256194111,0.0
0,mcv:727,mcv,270,3,2,False,0,0,0,0.0,0.0
0,mcv:754,mcv,218,4,1,False,0,0,0,0.0,0.0
0,mcv:1292,mcv,588,3,1,False,0,0,0,0.0,0.0
0,fd:155,fd,27,3,3,False,0,0,0,0.0,0.0
0,mcv:883,mcv,196,4,1,True,1,0,1,0.0,0.00938923328962371
0,mcv:20,mcv,382,6,4,False,0,0,0,0.0,0.0
