seed,query_index,query_id,outcome,delta,mechanism,empty_qerror,train_qerror,oracle_qerror,cross_mechanism,negative_magnitude,repairable_single_removal,oracle_gap,dominant,missing_class,mcv_trace,fd_trace,labels,best_single_removal,best_missing_add
0,0,query.1,positive,0.006344235033100443,mcv_only,1.7998583054180384,1.793514070384938,1.0174759221678513,False,0.0,0.0,0.7760381482170866,,,[35],[],[],"{""candidate"": ""mcv:35"", ""qerror_without"": 1.7998583603788785, ""attribution"": 0.006344289993940544, ""change_kind"": ""mcv_winner_replacement"", ""trace_without"": {""mcv"": [77], ""fd"": [], ""rows"": 717410.9434384983}}","{""candidate"": ""fd:486"", ""qerror_with_add"": 1.793514070384938, ""gain"": 0.0, ""useful"": false}"
0,7,query.8,neutral,0.0,no_extstat_consumption,1.361422326716653,1.361422326716653,1.001080195764987,False,0.0,0.0,0.3603421309516659,,S1_no_training_signal,[],[],"[""N6_missing_test_useful""]",null,"{""candidate"": ""mcv:226"", ""qerror_with_add"": 1.001080195764987, ""gain"": 0.3603421309516659, ""useful"": true}"
0,20,query.21,negative,-0.050487079585963324,mcv_only,1.2914954919730355,1.3419825715589988,1.0714674783824665,False,0.050487079585963324,0.050487079585963324,0.27051509317653233,mcv_consumption_removal,S1_no_training_signal,[50],[],"[""N2_harmful_mcv_correction"", ""N6_missing_test_useful""]","{""candidate"": ""mcv:50"", ""qerror_without"": 1.2914954919730355, ""attribution"": -0.050487079585963324, ""change_kind"": ""mcv_consumption_removal"", ""trace_without"": {""mcv"": [], ""fd"": [], ""rows"": 396933.39048496063}}","{""candidate"": ""mcv:412"", ""qerror_with_add"": 1.1395544867528906, ""gain"": 0.2024280848061082, ""useful"": true}"
0,31,query.32,positive,0.01690114706608159,mcv_only,1.2699100896416324,1.2530089425755508,1.1967219724916274,False,0.0,0.0,0.05628697008392347,,S1_no_training_signal,[773],[],"[""N6_missing_test_useful""]","{""candidate"": ""mcv:773"", ""qerror_without"": 1.2699100896416324, ""attribution"": 0.01690114706608159, ""change_kind"": ""mcv_consumption_removal"", ""trace_without"": {""mcv"": [], ""fd"": [], ""rows"": 286603.4683110407}}","{""candidate"": ""mcv:383"", ""qerror_with_add"": 1.1796100901887767, ""gain"": 0.07339885238677413, ""useful"": true}"
0,32,query.33,negative,-0.007061367958944853,mcv_only,1.0132712793166891,1.020332647275634,1.0028701972340919,False,0.007061367958944853,0.007061367958944853,0.01746245004154212,mcv_consumption_removal,,[112],[],"[""N2_harmful_mcv_correction""]","{""candidate"": ""mcv:112"", ""qerror_without"": 1.0132712793166891, ""attribution"": -0.007061367958944853, ""change_kind"": ""mcv_consumption_removal"", ""trace_without"": {""mcv"": [], ""fd"": [], ""rows"": 770671.8430801288}}","{""candidate"": ""mcv:1139"", ""qerror_with_add"": 1.020332647275634, ""gain"": 0.0, ""useful"": false}"
0,37,query.38,positive,0.042887948678409504,mcv_only,2.295593288209963,2.2527053395315533,1.4054107318206417,True,0.0,0.0,0.8472946077109116,,S1_no_training_signal,[1117],[],"[""N6_missing_test_useful""]","{""candidate"": ""mcv:1117"", ""qerror_without"": 2.3533742651509644, ""attribution"": 0.1006689256194111, ""change_kind"": ""mcv_consumption_removal"", ""trace_without"": {""mcv"": [], ""fd"": [0], ""rows"": 567010.2285741476}}","{""candidate"": ""mcv:59"", ""qerror_with_add"": 1.4091294987858987, ""gain"": 0.8435758407456546, ""useful"": true}"
0,41,query.42,positive,0.034610665593266976,mcv_fd_composed,1.479871054306232,1.445260388712965,1.028720861966745,True,0.0,0.0,0.41653952674621997,,S1_no_training_signal,[883],[133],"[""N4_mcv_to_fd_suppression"", ""N6_missing_test_useful""]","{""candidate"": ""mcv:883"", ""qerror_without"": 1.4358711554233412, ""attribution"": -0.00938923328962371, ""change_kind"": ""mcv_consumption_removal"", ""trace_without"": {""mcv"": [], ""fd"": [133, 5], ""rows"": 491161.0608906419}}","{""candidate"": ""mcv:1292"", ""qerror_with_add"": 1.3212570493244886, ""gain"": 0.1240033393884763, ""useful"": true}"
0,46,query.47,positive,0.006345530024449708,mcv_only,1.2777837763883686,1.271438246363919,1.003079781103087,False,0.0,0.0,0.26835846526083196,,,[40],[],[],"{""candidate"": ""mcv:40"", ""qerror_without"": 1.2766974995704135, ""attribution"": 0.005259253206494563, ""change_kind"": ""mcv_winner_replacement"", ""trace_without"": {""mcv"": [879], ""fd"": [], ""rows"": 816033.5555999421}}","{""candidate"": ""mcv:530"", ""qerror_with_add"": 1.271438246363919, ""gain"": 0.0, ""useful"": false}"
0,47,query.48,neutral,0.0,no_extstat_consumption,2.418887934006248,2.418887934006248,1.5873170237439005,False,0.0,0.0,0.8315709102623476,,S1_no_training_signal,[],[],"[""N6_missing_test_useful""]",null,"{""candidate"": ""mcv:1999"", ""qerror_with_add"": 1.744653149985703, ""gain"": 0.6742347840205452, ""useful"": true}"
0,48,query.49,neutral,0.0,no_extstat_consumption,1.5569468757487683,1.5569468757487683,1.00502098584757,False,0.0,0.0,0.5519258899011983,,S1_no_training_signal,[],[],"[""N6_missing_test_useful""]",null,"{""candidate"": ""mcv:1262"", ""qerror_with_add"": 1.2006475136252157, ""gain"": 0.3562993621235526, ""useful"": true}"
0,50,query.51,positive,0.05210080972180875,mcv_fd_composed,1.3843429200290676,1.3322421103072588,1.3636424443020652,False,0.0,0.0,0.0,,,"[4, 65]",[174],"[""N1_mcv_winner_replacement""]","{""candidate"": ""mcv:4"", ""qerror_without"": 1.2810383542779566, ""attribution"": -0.05120375602930216, ""change_kind"": ""mcv_winner_replacement"", ""trace_without"": {""mcv"": [60, 919], ""fd"": [174], ""rows"": 421387.3183328996}}","{""candidate"": ""mcv:741"", ""qerror_with_add"": 1.3322421103072588, ""gain"": 0.0, ""useful"": false}"
0,51,query.52,negative,-0.7837177489719618,mcv_fd_composed,1.3723397198167675,2.1560574687887293,1.1919057816693728,False,0.7837177489719618,0.7587222049929316,0.9641516871193565,mcv_winner_replacement,S1_no_training_signal,[221],[121],"[""N4_mcv_to_fd_suppression"", ""N5_multi_statistic_interaction"", ""N6_missing_test_useful""]","{""candidate"": ""mcv:221"", ""qerror_without"": 1.3973352637957976, ""attribution"": -0.7587222049929316, ""change_kind"": ""mcv_winner_replacement"", ""trace_without"": {""mcv"": [536, 713], ""fd"": [], ""rows"": 77778.75704987762}}","{""candidate"": ""mcv:107"", ""qerror_with_add"": 1.3778371341900775, ""gain"": 0.7782203345986518, ""useful"": true}"
0,55,query.56,negative,-0.15437935465306496,mcv_only,1.073772695168076,1.228152049821141,1.0047676902170302,False,0.15437935465306496,0.15437935465306496,0.22338435960411074,mcv_consumption_removal,,[385],[],"[""N2_harmful_mcv_correction""]","{""candidate"": ""mcv:385"", ""qerror_without"": 1.073772695168076, ""attribution"": -0.15437935465306496, ""change_kind"": ""mcv_consumption_removal"", ""trace_without"": {""mcv"": [], ""fd"": [], ""rows"": 355366.1472385699}}","{""candidate"": ""mcv:1407"", ""qerror_with_add"": 1.228152049821141, ""gain"": 0.0, ""useful"": false}"
