neighborhood_size,candidate_count,candidate_ratio
4,20,0.0010392309690828788
10,142,0.007378539880488438
19,1,5.1961548454143937e-05
20,467,0.024266043128085217
23,1,5.1961548454143937e-05
26,1,5.1961548454143937e-05
29,1,5.1961548454143937e-05
35,956,0.0496752403221616
36,6,0.0003117692907248636
39,2,0.00010392309690828787
41,4,0.00020784619381657575
44,2,0.00010392309690828787
51,12,0.0006235385814497272
54,6,0.0003117692907248636
56,1736,0.09020524811639387
60,1,5.1961548454143937e-05
62,12,0.0006235385814497272
66,12,0.0006235385814497272
69,2,0.00010392309690828787
70,1,5.1961548454143937e-05
72,8,0.0004156923876331515
75,6,0.0003117692907248636
81,9,0.0004676539360872954
84,2478,0.12876071706936867
85,1,5.1961548454143937e-05
87,42,0.002182385035074045
90,20,0.0010392309690828788
93,4,0.00020784619381657575
96,1,5.1961548454143937e-05
99,1,5.1961548454143937e-05
100,33,0.0017147310989867497
102,8,0.0004156923876331515
103,8,0.0004156923876331515
104,1,5.1961548454143937e-05
106,1,5.1961548454143937e-05
108,39,0.0020265003897116133
109,28,0.00145492335671603
111,2,0.00010392309690828787
112,2,0.00010392309690828787
115,43,0.002234346583528189
118,5,0.0002598077422707197
120,2263,0.11758898415172772
121,2,0.00010392309690828787
122,1,5.1961548454143937e-05
123,2,0.00010392309690828787
126,19,0.0009872694206287348
127,1,5.1961548454143937e-05
129,2,0.00010392309690828787
130,42,0.002182385035074045
131,1,5.1961548454143937e-05
132,1,5.1961548454143937e-05
133,2,0.00010392309690828787
134,2,0.00010392309690828787
136,121,0.006287347362951416
137,2,0.00010392309690828787
138,1,5.1961548454143937e-05
139,17,0.0008833463237204468
140,1,5.1961548454143937e-05
142,2,0.00010392309690828787
145,9,0.0004676539360872954
146,1,5.1961548454143937e-05
149,1,5.1961548454143937e-05
151,47,0.0024421927773447647
152,4,0.00020784619381657575
154,3,0.0001558846453624318
155,4,0.00020784619381657575
156,4,0.00020784619381657575
158,47,0.0024421927773447647
160,1,5.1961548454143937e-05
161,6,0.0003117692907248636
163,2,0.00010392309690828787
164,76,0.003949077682514939
165,2633,0.13681475707976098
166,27,0.0014029618082618861
167,9,0.0004676539360872954
170,4,0.00020784619381657575
171,15,0.000779423226812159
172,92,0.004780462457781242
173,3,0.0001558846453624318
174,4,0.00020784619381657575
175,9,0.0004676539360872954
176,2,0.00010392309690828787
177,2,0.00010392309690828787
179,3,0.0001558846453624318
